player_id,handle,first_name,last_name,total_games_played,most_played_agent_type,most_played_agent_name,average_kpr,average_dpr,total_kills_2024,total_multikills,total_clutches,total_first_bloods,average_headshot_ratio,average_damage_per_round,region
108724442179587178,Estrella,Gun,Park,30,Controllers,Viper,0.586,0.659,392,113,2,36,0.247,34.54,INTL
109795054732626044,Lmemore,HAGAI,TEWUH,32,Initiators,Sova,0.721,0.735,512,176,2,70,0.29,45.656,INTL
106652153897244072,Sheydos,Bogdan,Naumov,35,Controllers,Viper,0.688,0.619,513,150,5,39,0.194,48.185,INTL
107736211832747525,Kamo,Kamil,Frąckowiak,35,Duelists,Raze,0.767,0.79,567,183,3,152,0.258,46.837,INTL
109664363719653316,Shadow ,Tobias,Flodström,35,Initiators,Breach,0.61,0.715,448,125,3,40,0.16,33.981,INTL
106651763961975955,starxo,Patryk,Kopczyński,35,Initiators,Fade,0.634,0.705,472,128,0,54,0.199,36.662,INTL
107736213233216306,Grubinho,Grzegorz,Ryczko,35,Controllers,Omen,0.699,0.654,520,165,3,58,0.284,40.631,INTL
106230224874717841,Jamppi,Elias ,Olkkonen ,32,Initiators,KAY/O,0.665,0.74,455,130,4,69,0.267,35.173,INTL
108238948394615729,Keiko,Sanassy,Georgio,32,Duelists,Jett,0.8,0.744,551,181,3,121,0.282,44.458,INTL
109664363829628765,Enzo ,Enzo,Mestari,32,Initiators,Sova,0.578,0.667,393,110,1,37,0.16,42.504,INTL
106652155439574920,nAts,Ayaz,Akhmetshin,32,Sentinels,Cypher,0.774,0.707,525,148,3,57,0.171,44.686,INTL
106230274512017155,Mistic,James,Orfila,32,Controllers,Omen,0.629,0.725,435,126,1,42,0.29,35.987,INTL
107882580518128045,Governor,Peter,No,43,Duelists,Jett,0.724,0.75,661,218,2,154,0.268,46.339,INTL
106660453242133180,ban,SEUNGMIN,OH,43,Initiators,KAY/O,0.693,0.734,636,195,1,101,0.302,43.345,INTL
106230370674623216,Crws,Thanamethk,Mahatthananuyut,43,Initiators,Gekko,0.542,0.693,498,151,3,39,0.202,40.124,INTL
107760828215969554,Surf,Thanachart,Rungapajaratkul,23,Sentinels,Killjoy,0.592,0.67,291,83,2,33,0.303,37.132,INTL
107760829357934370,JitBoyS,Jittana,Nokngam,43,Controllers,Viper,0.731,0.71,670,218,5,73,0.331,49.452,INTL
108276661399055023,2GE,Goopio,Michael James,15,Controllers,Omen,0.684,0.651,223,72,3,24,0.294,39.251,INTL
107760837253384136,Wild0reoo,Brheyanne Christ,Reyes,13,Initiators,Skye,0.73,0.682,214,77,1,22,0.198,43.439,INTL
107735300473140442,Destrian,Tomas ,Linikas,11,Sentinels,Killjoy,0.553,0.721,132,29,0,14,0.203,30.159,INTL
107760829603527027,Primmie,Papaphat,Sriphapha,10,Duelists,Raze,0.903,0.8,186,68,2,26,0.484,62.304,INTL
107760969753086434,Jinggg,Jing Jie,Wang,59,Sentinels,Sage,0.792,0.725,947,316,3,159,0.227,49.064,INTL
109795086166200353,AAAAY,Yang,Zhang,46,Initiators,KAY/O,0.696,0.697,711,226,9,59,0.337,42.707,"CN, INTL"
110790647283329030,Lysoar,Youhao,Liang,46,Sentinels,Killjoy,0.627,0.688,633,201,6,55,0.304,40.467,"CN, INTL"
109703937294721986,Autumn ,Kale,Dunne,46,Controllers,Clove,0.717,0.71,730,233,7,109,0.269,39.491,"CN, INTL"
106729738116921244,BerLIN,Zhang Bo,Lin,46,Controllers,Viper,0.64,0.717,652,189,4,101,0.359,40.011,"CN, INTL"
108695547619985069,Life2,Donghao,Qu,46,Duelists,Jett,0.766,0.772,771,253,4,191,0.373,44.808,"CN, INTL"
112648876591423214,Scales,Zhen,Zhang,13,Initiators,Skye,0.552,0.773,152,54,0,20,0.292,40.808,CN
108695520844884804,Ninebody,Yi,Ding,13,Duelists,Raze,0.833,0.775,226,75,1,54,0.239,52.487,CN
111878439468142529,ColdFish,Pengzhi,Xiang,13,Controllers,Omen,0.638,0.73,170,53,2,18,0.162,40.992,CN
112648898024852446,EREN1,ZENGWEI,YANG,11,Controllers,Viper,0.749,0.768,167,47,2,13,0.146,40.707,CN
110512800115092977,hfmi0dzjc9z,Juncheng,Zhang,13,Sentinels,Cypher,0.668,0.744,178,55,0,19,0.255,54.635,CN
107723772674746660,MiniBoo,Dominykas,Lukaševičius,86,Duelists,Neon,0.778,0.746,1444,475,1,328,0.319,46.886,INTL
107764993804063401,RieNs,Enes,Ecirli,110,Initiators,Sova,0.731,0.666,1713,533,6,181,0.289,47.148,INTL
107735298728316922,Boo,Ričardas ,Lukaševičius,110,Controllers,Omen,0.628,0.651,1468,432,13,185,0.318,36.77,INTL
109630636704842016,benjyfishy,Benjamin,Fish,110,Sentinels,Cypher,0.74,0.663,1743,541,11,206,0.314,43.776,INTL
107042214535152515,paTiTek,Patryk,Fabrowski,47,Initiators,KAY/O,0.634,0.677,605,174,1,77,0.222,43.439,INTL
106172926875591321,Klaus,Nicolas,Ferrari,26,Initiators,Sova,0.598,0.719,329,82,1,64,0.235,35.13,INTL
107769214650893734,eeiu,Daniel,Vucenovic,56,Initiators,Sova,0.705,0.61,825,250,8,59,0.29,44.448,INTL
106664993881319312,bangNA,Sean,Bezerra,56,Controllers,Omen,0.719,0.65,841,288,6,116,0.265,40.655,INTL
107769215086183858,Boostio,Kelden,Pupello,56,Sentinels,Killjoy,0.64,0.722,753,229,5,108,0.183,40.497,INTL
107769216664661606,Cryo,Matthew,Panganiban,56,Duelists,Jett,0.845,0.691,985,335,3,162,0.229,52.715,INTL
106525489805459472,Asuna,Peter,Mazuryk,56,Initiators,KAY/O,0.73,0.708,848,264,2,155,0.185,42.134,INTL
111878438513796766,FengF,XueFeng,Song,34,Duelists,Raze,0.761,0.706,537,167,0,98,0.243,49.387,CN
110790640344246272,Kai ,Zhinan,Lu,34,Sentinels,Killjoy,0.807,0.72,572,194,2,111,0.264,54.7,CN
111878438452531105,heybay,SHUNHEI,HO,34,Controllers,Viper,0.587,0.718,419,126,3,42,0.255,47.757,CN
110790632788902088,Biank,Jianfei,Zhong,34,Initiators,Fade,0.656,0.721,457,134,3,67,0.165,42.139,CN
108695528371865248,LuoK1ng,Zhanpeng,Zhang,34,Controllers,Omen,0.703,0.699,493,157,1,45,0.301,47.922,CN
111878437249355652,Spitfires,mingyang,XIN,13,Duelists,Raze,0.815,0.789,213,56,0,65,0.25,41.383,CN
110512805928988159,Bunt,He,Jiang,13,Controllers,Omen,0.673,0.711,176,39,3,20,0.233,32.722,CN
108695518158952270,sword9,Wei,Li,13,Initiators,Gekko,0.653,0.709,170,47,1,14,0.17,33.166,CN
